time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-11-15T20:08:19.960Z,42.676,23.207,8.2,3.9,ml,20,93.5,,,us,usp000gnse,2014-11-07T01:37:44.496Z,Bulgaria,earthquake,,,,,reviewed,buc,the
2008-11-05T07:36:53.070Z,42.932,27.653,10,4.1,ml,18,101.5,,,us,usp000gn03,2014-11-07T01:37:41.141Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-09-02T01:57:25.900Z,41.65,23.99,16,3.3,md,15,146.7,,,us,usp000gg6m,2014-11-07T01:37:06.071Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2008-08-31T16:51:51.840Z,41.824,23.084,10,3.2,md,14,131.2,,1.49,us,usp000gg3e,2014-11-07T01:37:02.389Z,Bulgaria,earthquake,,0,,,reviewed,us,ath
2008-08-31T00:32:59.310Z,42.39,25.712,10,2.6,ml,14,234.4,,,us,usp000gg1h,2014-11-07T01:37:02.160Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-08-24T23:24:48.100Z,42.26,25.86,3,3.3,md,12,232.5,,,us,usp000gfez,2014-11-07T01:36:58.879Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2008-07-13T10:23:41.530Z,43.14,26.147,1,2.7,ml,6,206.3,,,us,usp000gc1y,2014-11-07T01:36:37.385Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-06-24T01:42:08.200Z,41.65,23.84,21,3.2,md,11,137.3,,,us,usp000gadz,2014-11-07T01:36:25.417Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2008-06-23T19:17:36.100Z,41.88,23.27,45,3.5,md,4,296,,,us,usp000gadf,2014-11-07T01:36:25.377Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2008-06-23T19:01:48.500Z,41.82,23.01,28,3.7,md,20,59.2,,,us,usp000gade,2014-11-07T01:36:25.375Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2008-06-22T18:43:54.300Z,41.929,22.924,6.9,4,ml,19,96.4,,,us,usp000gab1,2014-11-07T01:36:25.038Z,Bulgaria,earthquake,,,,,reviewed,the,the
